Make,Variant,Year,Length,Draft,Beam,Displacement,Water,Fuel,Cabins,Heads,Money,vscore,yscore,rscore
Bali,CATSPACE,2018,40.33,3.75,21.42,20723,200.77,105.67,4,4,440134,271089.5764,593017.3817,537162.866
Fountaine Pajot,Tanna 47,2018,45.73,3.94,25.26,23038,184.92,248.32,3,3,618056,412689.8883,593017.3817,537162.866
Lagoon,450,2019,45.8,4.07,25.82,25353,138.76,256.25,4,4,685000,423369.3127,616781.8899,537162.866
Lagoon,450,2019,45.8,4.2,25.52,27668,92.6,264.18,3,3,560000,409402.951,616781.8899,537162.866
Bali,4.4,2018,45.92,4.33,25.92,29983,211.34,211.34,4,4,631728,453321.2541,593017.3817,537162.866
Bali,4.6,2018,46.83,4.17,25.17,30424,908.76,211.34,3,3,694433,416605.0584,593017.3817,537162.866
Bali,4.8,2016,48.75,4.5,25.08,32628,264.17,264.17,3,3,641182,508220.4978,509586.6972,537162.866
McConaghy,MC53 Catamaran,2019,50,8.83,26.17,32628,132,132,5,3,1016875,799264.8418,616781.8899,537162.866
