Variant,Draft,Beam,Water,Fuel,Cabins,Displacement
Jeanneau Sun Odyssey 42,6.5,13.42,120,50,,
Jeanneau Sun Odyssey 42 DS,7.17,13.5,93.78,34.34,,
Jeanneau Sun Odyssey 42i,6.65,13.35,92,46,4,35627
Jeanneau Sun Odyssey 42i Performance,5.25,13.48,93.78,34.34,,19003.6
Jeanneau Sun Odyssey 43 DS,6.5,13.67,146,53,3,
Jeanneau Sun Odyssey 439,5.17,13.92,87,53,4,
Jeanneau Sun Odyssey 44 DS,5.33,13.83,86,56,3,
Jeanneau Sun Odyssey 440,7.17,14,140,53,3,
Jeanneau Sun Odyssey 449,,13.83,87.18,52.83,,
Jeanneau Sun Odyssey 44i,,,,,,
Jeanneau Sun Odyssey 45,6.37,14.34,110.95,55.48,4,
Jeanneau Sun Odyssey 45 DS,6.73,14.34,162,63.4,3,22928
Jeanneau Sun Odyssey 45 Performance,7.55,14.34,,,2,
Jeanneau Sun Odyssey 469,7.33,14.75,162,63,3,
Jeanneau Sun Odyssey 479,,14.67,169,63,3,
Jeanneau Sun Odyssey 48 DS,,,,,,
Jeanneau Sun Odyssey 49,5.41,14.73,158.5,71.33,4,
Jeanneau Sun Odyssey 49 DS,6.73,14.47,,,,
Jeanneau Sun Odyssey 49 Owners version,,,,,,
Jeanneau Sun Odyssey 49 Owners Version,,,,,,
Jeanneau Sun Odyssey 490,,14.73,169.07,63.4,5,
Jeanneau Sun Odyssey 49DS,,,,,,
Jeanneau Sun Odyssey 49i,,,,,,
Jeanneau Sun Odyssey 49i Performance,7.71,14.73,,63.4,,
Jeanneau Sun Odyssey 50 DS,7.08,14.67,100,126,3,
Jeanneau Sun Odyssey 509,5.42,15.33,80,63,3,
Jeanneau Sun Odyssey 519,5.67,13.33,163,126,4,
Jeanneau Sun Odyssey 53,,,,,,
Jeanneau Sun Odyssey 54 DS,7.5,16,512,216,3,
Malo 40,,,,,,
Malo 40 classic,,,,,,
Malo 40 Classic MK Il,,,,,,
Malo 43 Classic,,13.02,,,,
Malo 46,6.99,13.52,,,3,
Maxi 1200,,,,,,
Maxi 1300,7.38,12.47,84.54,47.55,3,
Moody 45 Classic,,,,,,
Moody 45 DS,6.5,14.92,211.34,158.5,,
Moody 45 DS e,,,,,,
Moody 49,6.58,14.42,139,176,,34556
Moody 54,7.5,15.92,252,180,,44132
Morris M42,5.75,11.25,50,40,1,
Morris M42X,,,,,,
Morris Ocean Series 48,5.83,13.83,120,600,2,
Najad 380,,,,,,
Najad 440 CC,6.89,13.22,,,,
Najad 505,,15,,,2,
Nauticat 385,6.07,11.81,117.56,88.5,2,
Nauticat 42,,,,,,
Nauticat 44,5.83,12.17,110,400,2,
Nauticat 441,6.07,12.3,163.79,221,2,31747
Nauticat 441 Ketch,,,,,,
Nautor Swan 46,6.56,14.47,126.83,99.06,2,
Nautor Swan 50,11.48,13.78,,,,
Nautor Swan 54,8.01,15.58,,,3,
Nautor Swan ClubSwan 50,11.48,13.78,63.4,44.91,2,
Nordship 380DS,5.91,12.3,99.33,52.83,1,19842
Nordship DSC 38,,,,,,
Oyster 46,7.25,14,,,,
Oyster 475,,,,,,
Oyster 53,7.25,15.25,237.75,237.75,,49053
Oyster 54,7.97,15.58,198.13,224.55,3,
Oyster 545,,15.58,396.26,449.1,3,
Passport 470,6,14.17,150,160,2,
Passport 470 Center Cockpit,,,,,,
Passport 545 Aft Cockpit,6,15,,,2,
Passport Vista 515 Center Cockpit,,,,,,
Passport Vista 545 Center Cockpit,6,15.5,250,286,2,
Poncin HARMONY 47,7.05,13.94,133,53,,23479
Poncin harmony 52,6.07,15.09,264,127,,29762
RM Yachts 1260,8.2,14.44,106,34,,
RM Yachts rm 12.60,,14.27,211,34.34,2,
RM Yachts RM 12.70,,,,,,
RM Yachts RM 1200,5.91,13.91,,,,
RM Yachts RM 1270,7.38,14.27,126.8,39.63,3,
Rustler 42,6.17,13.33,,,,
Rustler 44,,,,,,
Sabre 386,,12.57,100,40,2,
Sabre 426,5.17,13.42,120,60,2,
Sabre 456 MK II,5.5,14.08,200,100,,27150
Salona 38,6.89,11.88,84.54,40.15,3,
Salona 40,7.74,13.12,132.09,68.68,,16500
Salona 42,7.48,12.53,,,3,
Salona 44,8.37,13.75,55.48,79.25,4,
Salona 45,8.37,13.78,,,,
Salona S380,,12,,,,
Salona S41,6.7,12.8,58.12,58.12,,15840
ShearWater 39,,12.83,52.84,118.88,2,21600
Sly 42,8.2,12.14,84.54,44.91,3,
Sly 47,9.84,13.12,132.09,27.47,3,
Sly 48C,,13.78,,,,
Sly 53,9.84,14.44,158.8,84.54,3,
Solaris 42,2.25,3.99,350,220,,19360
Solaris 44,,13.75,,,3,
Solaris 48,7.87,14.34,132.09,79.25,3,28219
Solaris 48 ONE,8.69,14.44,132.09,79.25,3,28660
Solaris 50,9.19,14.93,118.88,73.97,4,31967
Solaris One 44,8.53,13.71,100.39,58.12,3,
Southerly 135,9.71,13.52,143.97,95.1,3,12563
Southerly 38,2.9,13.1,59.44,60.76,2,21780
Southerly 42 RST,2.1,13.3,71.06,78.99,3,24948
Southerly 420,8.11,13.3,117,63,,26000
Southerly 48,10.2,14.6,106,175,,41867
Southerly 535,3.2,15.9,211.34,237.75,3,51260
Sunbeam 39,,,,,,
Sunbeam 42.1,6.11,13.1,123.1,109.63,,23100
Sunbeam 53,7.87,14.93,145.29,224.55,3,43560
Sweden Yachts 42,,12.83,,,3,
Sweden Yachts 45,7.05,13.06,,,3,
Sweden Yachts 54,7.8,14.1,159,,,38140
Tartan 4000,6.25,12,120,75,,18854
Tartan 4300,5.67,13.5,240,200,2,23800
Tartan 4400,5.91,14.07,200.77,79.5,3,
Tayana 48,6,14.6,500,150,2,35000
Tayana 52 DS,6.5,15.08,,,2,
Tayana Pilothouse,6,13.58,240,325,3,
Tofinou 12,7.92,10.5,,,,
Tofinou 16,8.75,14.08,,,,
Triplast Y 40,6.56,13.45,100.39,71.33,3,
Van De Stadt Beluga 46,,,,,,
Van De Stadt Norman 41,7.25,12.8,110.95,110.95,,34540
Van De Stadt Stainless Steel Cutter,6.56,15.09,396.26,237.75,2,
Vismara 52 Carbon,,,,,,
Vismara 54,,,,,,
Vismara V50,8.2,14.76,211.34,79.25,3,
Vismara V50 DS,,,,,,
Vismara V50 Mills,9.84,15.42,132.09,105.67,3,
Vismara V52,10.5,13.71,158.5,105.67,3,
Wauquiez Centurion 40s,7.67,12.58,208,58,2,
Wauquiez Opium 39,7.05,13.71,79,29,,12346
Wauquiez Pilot Saloon 40,5.42,13.25,208,116,2,22075
Wauquiez Pilot Saloon 41,5.91,13.25,58.12,58.12,,22000
Wauquiez Pilot Saloon 42,7.05,13.91,109.63,109.63,2,
Wauquiez Pilot Saloon 47,7.05,15.16,159,159,,30870
Wauquiez Pilot Saloon 48,7.71,15.12,162.47,171.71,,
X-Yachts 40,7.75,12.42,,,,16425
X-Yachts 41,8.2,11.94,52.83,23.78,3,14991
X-Yachts 50,9.84,14.04,118.89,63.7,3,
X-Yachts X 4.3,,13,,,,
X-Yachts X4,,12.96,,,,
X-Yachts X4.6,8.17,14,95,74,3,
X-Yachts X-40,7.75,12.42,,,,16425
X-Yachts X-41 One Design,8.2,11.94,52.83,23.78,3,14991
X-Yachts X-43,8.2,,,,,
X-Yachts X-46,7.87,13.62,100.39,52.83,3,
X-Yachts X-50,9.84,14.04,118.89,63.4,3,
X-Yachts X-50 Modern,,14.05,129.71,105.67,3,27280
X-Yachts X-55,10.5,15,,,,
X-Yachts Xc 38,6.5,12.5,99.06,52.83,2,
X-Yachts Xc 42,5.58,16.77,137.37,66.04,3,25133
X-Yachts Xc 50,7.9,15.1,213,162,,35461
X-Yachts Xp 38,13.42,13.16,260,175,3,14936
X-Yachts Xp 44,7.55,13.35,92.46,52.83,3,
X-Yachts XP50,,15,,,,25520
Zuanelli 40,7.87,12.8,158.5,,3,
Zuanelli 52 DH,8.3,14.86,250.96,237.75,,45100
