Variant,Draft,Beam,Water,Fuel,Cabins,Displacement
Bestevaer 53ST,7.55,15.22,317.01,290.59,,39600
Boreal 44,8.14,14.4,167.75,167.75,,
Boreal 47,8.14,14.4,167.75,167.75,,
B-Yachts 38,7.38,9.02,26.42,26.42,,9900
B-Yachts Brenta B42,7.87,10.17,26.42,26.42,,12320
C&C 115,6.67,11.92,70,26,, 11,800 
C&C 121,6.5,13.17,80,55,2,
Cabo Rico 42,5.5,12.67,165,72,, 26,800 
Caliber 40 LRC SE,5.48,12.8,195,210,2,
Caliber 47 LRC SE,,13.17,,,,
Caliber 47LRC,5.15,13.16,225.07,277.12,,32931.8
Catalina 375,4.5,13,97,40,, 16,500 
Catalina 385,6.83,13.08,100,40,,
Catalina 387,4.75,12.33,102,37,,
Catalina 400 MK II,6.75,13.5,98,,, 19,700 
Catalina 42 Mk II,,13.83,138,39,,
Catalina 42 MK II,,13.83,138,39,,
Catalina 425,6.67,13.67,114,56,, 17,500 
Catalina 445,6.92,13.58,179,66,,
Catalina 470,5.75,14,1000,176,,
Catalina Morgan 440,4.92,14,176,117,2,
Catalina Morgan 440 DS Sloop,6,14,,,2,
Comar Comet 41S,7.22,12.86,118.88,36.98,2,
Comar Comet 450,7.87,13.78,158.5,47.55,3,
Comar Comet 45S,8.37,13.88,158.5,47.55,3,
Comar Comet 45s,8.37,13.88,158.5,47.55,3,
Comar Comet 51S,8.2,14.44,170,92.46,,
Comar Comet 52 RS,,16.08,,,4,55000
Contest 42CS,7.17,18.08,83.8,49.7,, 24,251 
Contest 45CS,6.4,13.45,113.59,79.25,,
Contest 50CS,7.58,16.83,185,185,3,
Contest 55CS,8.25,16.33,159.5,187,3,
Dehler 37,5.92,11.5,70,32,,
Dehler 38 Competition,7.22,12.3,83.21,42.27,3,
Dehler 39 SQ,6.5,12.63,60.76,29.06,,16720
Dehler 41,7.05,12.8,,,3, 8,300 
Dehler 41 CR,6.56,12.8,52.83,29.06,3,
Dehler 42,7.08,12.83,77,42,2,
Dehler 44,7.71,42.65,73.97,31.7,3,
Dehler 44 SQ,8.37,12.66,,,,21340
Dehler 45,7.22,12.66,60.76,44.12,, 21,385 
Dehler 46,7.42,14.25,118,55,3,
Dehler 47,7.87,13.81,,92.46,,
Dehler 47 SQ,,13.81,,,,
Dehler Varianta 44,7.71,42.65,73.97,31.7,,
Delphia 40,7.17,12.92,92,55,2,
Delphia 46 cc,7.55,14.7,158.5,105.67,,30800
Discovery 55,15.68,,,,3,
Dufour 380,6.23,12.73,95.1,52.83,3,
Dufour 382 GL,6.23,12.73,95.1,52.83,3,
Dufour 385,5.77,12.89,84.54,42.27,3, 15,388 
Dufour 385 GL,5.77,12.89,84.54,42.27,2, 15,388 
Dufour 390,6.25,12.67,100.39,52.83,, 15,565 
Dufour 40,5.25,12.8,87.18,42.27,, 17,196 
Dufour 40 Performance,6.89,12.8,95.1,52.83,3,
Dufour 405,6.66,13.06,100.39,52.83,3, 2,183 
Dufour 405 GL,6.66,13.06,100.39,52.83,3, 2,183 
Dufour 40e,6.8,12.7,100.4,52.8,, 17,257 
Dufour 40e Performance,6.89,12.76,100.4,52.8,,
Dufour 410,6.89,13.78,100.39,52.83,3, 20,790 
Dufour 410 GL,6.89,13.78,100.39,52.83,3, 20,790 
Dufour 412,6.89,13.78,100.39,52.83,3, 19,709 
Dufour 412 GL,6.83,13.67,100.39,52.83,3,
Dufour 425,6.07,13.58,116,42,, 18,539 
Dufour 425 GL,6.07,13.58,116,42,, 18,539 
Dufour 430,5.75,14.17,115,54,4,
Dufour 430 GL,,14.92,,,3,
Dufour 44,7.58,14.01,108,66,, 20,460 
Dufour 44 Performance,8.53,13.94,63.4,23.78,3,
Dufour 445,7.22,14.24,150.58,66.04,,22277.2
Dufour 445 GL,7.22,14.24,124.95,66.04,,22721.6
Dufour 45 Performance,7.55,14.11,140.01,66.04,3,
Dufour 450 GL,7.22,14.27,150.05,66.04,,22605
Dufour 450 Liberty version,6.4,14.27,150.05,66.04,,
Dufour 455,19.69,45.93,,,3,
Dufour 455 GL,7.22,14.11,,,3,
Dufour 45e Performance,7.42,14.83,138,65,4,
Dufour 460,6.33,14.75,140,66,3, 23,722 
Dufour 460 GL,6.33,14.83,140,66,, 23,721 
Dufour 460 Performance,6.33,14.83,140,66,, 23,721 
Dufour 485,6.89,13.62,116.24,58.12,3,
Dufour 485 GL,6.89,13.62,116.24,58.12,3,
Dufour 500,6.56,13.12,,,3,
Dufour 500 GL,6.33,15.67,180,132,3,
Dufour 512 GL,6.89,15.68,190.2,132.09,5,
Dufour 520,7.55,15.75,184.92,118.88,3, 33,610 
Dufour 520 GL,7.55,15.75,184.92,118.88,3, 33,610 
Dufour 520 GL Owner Version,7.55,15.75,,,3,
Dufour 525 GL,,16.08,198.13,132.09,,
Dufour 56 Exclusive,8.17,16.58,180,132,4, 38,856 
Elan 394 Impression,5.91,12.83,,43.59,,20900
Elan 40 E5,7.87,12.7,73.18,34.87,,18018
Elan 40 Impression,5.91,12.83,,,,
Elan 410,8,12.67,94,38,, 18,298 
Elan 434 Impression,,13.71,136.31,71.33,3,
Elan 444 Impression,,13,,,,
Elan 45 Impression,6.25,13.75,136.31,56.8,3,
Elan 450,,14.34,,,,
Elan 494 Impression,,15.33,,,,
Elan 50,,15.35,159.82,77.93,6,
Elan 50 Impression,,15.35,159.82,77.93,6,
Elan 514 IMPRESSION,6.56,13.12,845,105,3,
Elan GT5,6.42,12.83,256,39,2,
Elan Impression 384,6.23,12.83,47.55,63.4,, 16,720 
Elan IMPRESSION 394,5.91,12.83,63.4,43.59,,20900
Elan Impression 40,5.91,12.83,,,,
Elan Impression 434,,13.71,136.31,71.33,3,
Elan Impression 444,,13,,,,
Elan Impression 45,6.25,13.75,136.31,56.8,3,
Elan Impression 494,,15.33,,,,
Elan Impression 50,,15.35,159.82,77.93,6,
