Variant,Draft,Beam,Length at Waterline,Fresh Water Tank,Fuel Tank,Cabins,Heads,dispalcement
Nautitech 46 open,4.75,24.75,45.25,79.25,79.25,3,3,
Nautitech 44,4.75,24.17,,158,132,3,2,
Antares 44GS,,21.75,43.5,120,150,3,2,
Seawind 1160,3.58,21.33,,185,71,3,2,14300
Bali 4.3,,23.33,42.17,211,422,3,3,
Lagoon 52 Sport,4.92,28.25,,,,4,4,57403
Lagoon 39,4,22.25,,79,106,4,2,25739
Fountaine Pajot Lucia 40,3.75,21.58,,140.02,79.25,3,2,19621
HH Catamarans HH55 Catamaran,10.83,26.58,53.17,,,,,31305
Fountaine Pajot Pajot Bahia 46,6.89,24.28,,211.34,105.67,6,4,
Fountaine Pajot Belize 43,,23,,,,3,2,
Leopard 43,4,22.75,40,206,95,4,4,19030
Lagoon 400,4,23.75,37.58,200,120,4,2,22817
Leopard 39,3.67,21,36.08,206.05,92.46,3,2,20073
Lagoon 50F,4,,,,,,,63934
Lagoon 450s,4.25,25.83,,184,274,4,4,33000
Bali 4.6,,25,,211,211,3,3,
Outremer 45,6.5,23.25,,108,114,3,2,
Fountaine Pajot Lavezzi 40,3.64,21.36,,147.94,66.04,3,2,
Nautitech 40 Open,4.43,22.67,39.17,56.8,56.8,,2,18739
Lagoon 410-S2,3.94,23.26,,105.67,184.92,3,2,
Voyage Yachts 500,,27.08,47.08,210,132,5,5,
Dix Harvey DH550,3.58,28.5,,265,245,3,2,
Lagoon 40,4.42,22.17,,76,112,,2,24251
Nautitech Open 40,4.43,22.67,39.17,56.8,56.8,,2,18739
Broadblue 435,4.1,22,37.4,,,,,20061
Privilege Series 5,5.15,26.18,50,158.5,211.34,4,4,37038
Fountaine Pajot SABA 50,3.67,27.75,,184.92,248.32,6,6,34613
Nautitech 47,,24.92,,,,4,4,
Fountaine Pajot Astrea 42,,23.5,,,,,2,
Leopard 44,4.17,23.75,41.67,206,184,3,3,
Bali 5.4,,28.5,,,,4,4,
Lagoon 400 S2,4,23.75,,79,106,3,2,22817
Lagoon 42,4.08,25.25,,79,79,3,3,26681
Chris White Atlantic 48,3.2,26.3,,,,,,21500
Lagoon 450S,4.25,25.83,,184,274,4,4,33000
Fountaine Pajot Saona 47,4.17,25.25,,185,248,3,3,30424
Seawind 1260,3.67,22.25,,185,126,,2,18400
Lagoon 500,4.58,28,49,253.6,254,4,,37639
Chris White MastFoil 40,,,,,,,,
Fountaine Pajot Bahia 46,6.89,24.28,,211.34,105.67,6,4,
Fountaine Pajot Salina 48,3.58,25,,140,122,3,3,
Lagoon 50,4.58,26.58,,126,274,3,3,45921
Leopard 46,3.67,17.25,,175,365,3,2,33489
Fountaine Pajot Orana 44,3.92,24.08,43,150,105,3,3,
Lagoon 420,,24,,,,3,3,
Lagoon 421,4.17,24.58,40.33,92,158,3,3,26835
Lagoon 42 Owners Version,4.08,25.25,41,79,158,3,3,26990
Bali 4.1,4,22,43.58,211,103,4,2,18959
Fountaine Pajot SABA 50 Maestro,4.1,26.18,,184.92,248.32,5,5,
Lagoon 46,4.42,26.83,,158,274,,3,34773
Alliaura Feeling 39 DI,3,13.9,,92,38,3,,17251
Fountaine Pajot Helia 44,3.67,24.25,,198,126,3,3,10800
Fountaine Pajot Helia 44 Evolution,3.77,24.28,,198.13,71.33,4,4,
Lagoon 380 Owners Version,3.75,21.42,36.08,150,52,4,2,15679
Nautitech 40.2,3,21,,158,71,4,,16314
