lsb,Draft,Beam,LAW,Water,Fuel,Cabins,Heads,displacement
Dufour 412,6.89,13.78,,100.39,52.83,3,,19709
Catalina 400 MK II,6.75,13.5,,98,,,,19700
Hanse 415,6.83,13.67,,84,42,3,,19621
Beneteau Oceanis 43,6.5,13.42,,95,52,,,19566
Hunter 41,5,13.25,,100,36,,,19400
Hanse 400e,6.5,13.25,,79,37,3,,18739
Dufour 425,6.07,13.58,,116,42,,,18539
Dufour 425 GL,6.07,13.58,,116,42,,,18539
Hanse 400,6.5,13.25,,79.25,36.98,3,,18519
Hanse 400 Epoxy,6.5,13.25,,85.86,31.7,3,,18519
Hunter 39,5,12.92,,75,36,,,18501
Elan 410,8,12.67,,94,38,,,18298
Beneteau Oceanis 40,,12.67,,190,53,,,18210
Hunter 38,,12.08,,75,35,,,17637
Catalina 425,6.67,13.67,,114,56,,,17500
Dufour 40,5.25,12.8,,87.18,42.27,,,17196
Elan Impression 384,6.23,12.83,,47.55,63.4,,,16720
Catalina 375,4.5,13,,97,40,,,16500
Grand Soleil 39,7.87,12.14,,116.2,52.8,3,,16204
Dufour 390,6.25,12.67,,100.39,52.83,,,15565
Dufour 385,5.77,12.89,,84.54,42.27,3,,15388
Dufour 385 GL,5.77,12.89,,84.54,42.27,2,,15388
Grand Soleil 40,7.84,12.5,,95,48,3,,15000
Grand Soleil 40 B&C,7.84,12.5,,95,48,3,,15000
Grand Soleil 37 B&C,,12.07,,95,37,,,13640
C&C 115,6.67,11.92,,70,26,,,11800
Dehler 41,7.05,12.8,,,,3,,8300
Dufour 405,6.66,13.06,,100.39,52.83,3,,2183
Dufour 405 GL,6.66,13.06,,100.39,52.83,3,,2183
Beneteau Oceanis 50,5.92,14.67,,149,62,3,,
Island Packet 485,5.25,15.33,,300,300,3,,
Beneteau Sense 50,7.25,15.92,,193,220,,,
Beneteau Sense 55,,16.33,,256,219,3,,
Island Packet SP Cruiser,3.67,12.75,,130,215,2,,
Hunter 50,4.92,14.01,,126.8,211.34,3,,
Caliber 40 LRC SE,5.48,12.8,,195,210,2,,
Contest 55CS,8.25,16.33,,159.5,187,3,,
Contest 50CS,7.58,16.83,,185,185,3,,
Catalina 470,5.75,14,,1000,176,,,
Boreal 44,8.14,14.4,,167.75,167.75,,,
Boreal 47,8.14,14.4,,167.75,167.75,,,
Hunter 50 Center Cockpit,5.5,14.75,,192,162,2,,
Island Packet 445,5,14.4,,260,160,,,
Grand Soleil 48 Ocean Cruiser,6.56,13.78,,132.09,158.5,3,,
Beneteau Cyclades 43,6.23,14.53,,52.83,140.01,3,,
Dufour 525 GL,,16.08,,198.13,132.09,,,
Dufour 512 GL,6.89,15.68,,190.2,132.09,5,,
Beneteau Oceanis Clipper 473,7.25,14.8,,184,132,4,,
Dufour 500 GL,6.33,15.67,,180,132,3,,
Beneteau Oceanis Clipper 523,7.71,16.01,,224.55,118.88,4,,
Halerg-Rassy 40,6.53,12.53,,121.52,117.56,2,,
Catalina Morgan 440,4.92,14,,176,117,2,,
Halerg-Rassy 44,6.89,13.78,,196.81,110.95,3,,
Grand Soleil 56,9.35,15.85,,158.5,110.95,3,,
Grand Soleil 56 EXTREME,9.35,15.85,,158.5,110.95,,,
Beneteau Sense 51,6.08,15.92,,151,110,3,,
Beneteau Oceanis 51,,15.75,,201,106,3,,
Beneteau Oceanis 51.1,,15.75,,201,106,3,,
Beneteau Oceanis 54,,16.42,,190,106,,,
Beneteau Oceanis 50 F G5,,14.75,,170,106,5,,
Beneteau Oceanis 48,7.08,15.58,,147,106,3,,
Beneteau Oceanis 55.1,7.55,16.27,,264.17,105.67,4,,
Beneteau Oceanis 50.5,6.89,16.04,,258.89,105.67,5,,
Beneteau Oceanis 50 Family,6.56,15.81,,258.89,105.67,5,,
Elan 514 IMPRESSION,6.56,13.12,,845,105,3,,
Grand Soleil 54,8.83,15.25,,160,105,3,,
Beneteau Sense 43,,14.04,,136.05,105,2,,
Halerg-Rassy 43,6.56,13.32,,171.71,104.35,2,,
Hunter Passage 456,5.42,14,,600,100,2,,
Hunter 466,,14,,200,100,3,,
Bavaria 49 Cruiser,5.91,14.63,,211.34,92.46,5,,
Comar Comet 51S,8.2,14.44,,170,92.46,,,
Dehler 47,7.87,13.81,,,92.46,,,
Bavaria 56 Cruiser,8.08,15.58,,182.28,79.25,,,
Hanse 495,7.81,15.58,,171.71,79.25,3,,
Contest 45CS,6.4,13.45,,113.59,79.25,,,
Grand Soleil 46 LC,11.5,15.33,,221,78,3,,
Elan 50,,15.35,,159.82,77.93,6,,
Elan 50 Impression,,15.35,,159.82,77.93,6,,
Elan Impression 50,,15.35,,159.82,77.93,6,,
Grand Soleil 50,7.58,15,,122,77,3,,
Elan 434 Impression,,13.71,,136.31,71.33,3,,
Elan Impression 434,,13.71,,136.31,71.33,3,,
Beneteau Oceanis 473,6.92,14.17,,210,67,3,,
Dufour 450 Liberty version,6.4,14.27,,150.05,66.04,,,
Dufour 45 Performance,7.55,14.11,,140.01,66.04,3,,
Grand Soleil 46,8.37,14.07,,118.88,66.04,3,,
Hanse 470,8.53,14.63,,105.67,66.04,3,,
Hanse 470e,7.71,14.63,,105.67,66.04,3,,
Catalina 445,6.92,13.58,,179,66,,,
Hunter 45 DS,,14.5,,140,66,2,,
Dufour 45e Performance,7.42,14.83,,138,65,4,,
Jeanneau 45 Sun Odyssey Performance,6.73,14.34,,238,63.4,3,,
Jeanneau 53,5.83,15.58,,251,63,,,
Jeanneau 51,7.42,15.42,,169,63,3,,
Jeanneau 469,7.33,14.75,,162,63,3,,
Jeanneau 509,5.42,15.33,,80,63,3,,
Beneteau First 50,7.87,14.47,,150.05,62.61,3,,
Beneteau First 50 Sport,7.87,14.47,,150.05,62.61,3,,
Hanse 505,6.42,15.58,,170,60,3,,
Grand Soleil 45,,13.5,,106,60,3,,
Dufour 485,6.89,13.62,,116.24,58.12,3,,
Dufour 485 GL,6.89,13.62,,116.24,58.12,3,,
Beneteau Cyclades 39.3,6.23,12.96,,84.54,58.12,3,,
Hanse 430e,7.22,13.71,,84.54,58.12,3,,
Elan 45 Impression,6.25,13.75,,136.31,56.8,3,,
Elan Impression 45,6.25,13.75,,136.31,56.8,3,,
Harmony 42 Elegance,1.95 m,13.09,,133.41,55.48,3,,
Bavaria 44 Vision,6.89,14.4,,110.95,55.48,3,,
Bavaria 42 Vision,6.79,13.29,,55.48,55.48,3,,
Dehler 46,7.42,14.25,,118,55,3,,
Delphia 40,7.17,12.92,,92,55,2,,
C&C 121,6.5,13.17,,80,55,2,,
Dufour 430,5.75,14.17,,115,54,4,,
Beneteau Oceanis 423,6.92,12.92,,308,53,3,,
Beneteau 41.1,5.5,13.75,37.33,174,53,3,,
Beneteau Oceanis 41.1,,13.75,,174,53,3,,
Beneteau First 45,,13.75,,151,53,3,,
Beneteau Moorings 42.3,5.5,13.7,,150,53,,,
Beneteau Moorings 43.5,6.23,14.53,,148,53,,,
Beneteau 423,5.58,12.92,,143,53,,,
Beneteau Oceanis 45,7.42,14.75,,98,53,2,,
Beneteau 43,5.42,13.5,,95,53,2,,
Jeanneau 409,5.5,13,,290,52.83,2,,
Beneteau Oceanis 43.4,6.23,14.53,,132.09,52.83,4,,
Dufour 412 GL,6.83,13.67,,100.39,52.83,3,,
Beneteau Oceanis 43 Family,6.56,13.52,,95.1,52.83,4,,
Dufour 380,6.23,12.73,,95.1,52.83,3,,
Dufour 382 GL,6.23,12.73,,95.1,52.83,3,,
Dufour 40 Performance,6.89,12.8,,95.1,52.83,3,,
Harmony 38,4.92,12.53,,79.25,52.83,2,,
Beneteau Oceanis 41 Owners Version,7.19,13.78,,63.4,52.83,,,
Dufour 40e Performance,6.89,12.76,,100.4,52.8,,,
Beneteau Oceanis 41,,13.67,,90,52,2,,
Hunter 41 Deck Salon,5.5,13.33,,140,51,2,,
Hunter 41 DS,5.5,13.33,,140,51,2,,
Hunter 40,7,13.17,,90,50,,,
Hunter M-H 40,7,13.17,,90,50,,,
Comar Comet 450,7.87,13.78,,158.5,47.55,3,,
Comar Comet 45S,8.37,13.88,,158.5,47.55,3,,
Comar Comet 45s,8.37,13.88,,158.5,47.55,3,,
Dehler 38 Competition,7.22,12.3,,83.21,42.27,3,,
Hanse 388,5.42,12.83,,78,42,2,,
Dehler 42,7.08,12.83,,77,42,2,,
Catalina 385,6.83,13.08,,100,40,,,
Elan GT5,6.42,12.83,,256,39,2,,
Catalina 42 Mk II,,13.83,,138,39,,,
Catalina 42 MK II,,13.83,,138,39,,,
Catalina 387,4.75,12.33,,102,37,,,
Comar Comet 41S,7.22,12.86,,118.88,36.98,2,,
Beneteau First 40,6.4,12.76,,79.25,36.46,,,
Beneteau First 40.7,7.75,12.25,,72,36,,,
Jeanneau 42 DS,7.17,13.5,,93.78,34.34,,,
Beneteau Oceanis 38,6.82,13.09,,34.34,34.34,,,
Jeanneau 39i,4.75,12.58,,94,34,2,,
Beneteau Oceanis 38.1,6.75,13.08,,87,34,,,
Dehler 37,5.92,11.5,,70,32,,,
Dehler 44,7.71,42.65,,73.97,31.7,3,,
Dehler Varianta 44,7.71,42.65,,73.97,31.7,,,
Dehler 41 CR,6.56,12.8,,52.83,29.06,3,,
Dufour 44 Performance,8.53,13.94,,63.4,23.78,3,,
J boats J 122,6.92,11.75,,53,18.5,2,,
J Boats J 122,6.92,11.75,,53,18.5,2,,
Dufour 520 GL Owner Version,7.55,15.75,,,,3,,
Beneteau 56,,7.55,,,,,,
Dufour 455,19.69,45.93,,,,3,,
Hanse 540,7.97,16.11,,,,,,
Beneteau 523,6,16,,,,,,
Beneteau Oceanis 523,6,16,48,,,3,,
Beneteau Oceanis 523 A,6,16,48,,,3,,
Halerg-Rassy 54,,15.42,,,,,,
Elan 494 Impression,,15.33,,,,,,
Elan Impression 494,,15.33,,,,,,
Dufour 430 GL,,14.92,,,,3,,
Beneteau Oceanis 46.1,,14.75,,,,3,,
Beneteau Cyclades 43.4,,14.42,,,,,,
Island Packet 465,5,14.4,,,,,,
Beneteau Oceanis 49,6.23,14.37,,,,3,,
Elan 450,,14.34,,,,,,
Dufour 455 GL,7.22,14.11,,,,3,,
Catalina Morgan 440 DS Sloop,6,14,,,,2,,
Dehler 47 SQ,,13.81,,,,,,
Halerg-Rassy 412,6.53,13.48,,,,,,
Caliber 47 LRC SE,,13.17,,,,,,
Dufour 500,6.56,13.12,,,,3,,
Elan 444 Impression,,13,,,,,,
Elan Impression 444,,13,,,,,,
Harmony 47,6.89,13,,,,3,,
Grand Soleil 43,7.55,12.96,,,,,,
Elan 40 Impression,5.91,12.83,,,,,,
Elan Impression 40,5.91,12.83,,,,,,
Beneteau Oceanis Clipper 423,6.89,12.8,,,,,,
Hanse 385,6.66,12.73,,,,3,,
Hunter 380,5,12.58,,,,,,
Discovery 55,15.68,,,,,3,,
Hunter OV,,,,,,,,
